Batchsize,16,8,16,8
Throughput,69.80747751,58.88082162,122.5295264,303.8899936
Latency,229.2174464,135.8754889,130.5964101,26.33313527
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,8,16,16
Throughput,69.63147539,58.62925923,122.202096,367.8877721
Latency,229.7967822,136.4584606,130.9462904,43.50716362
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,16,1,1
Throughput,71.24822147,66.19049253,44.57607049,90.72084956
Latency,224.5826484,241.7421983,22.43453853,11.02380192
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,16,1,8
Throughput,70.38368881,64.81156425,44.03761745,307.3812489
Latency,227.3410363,246.885163,22.70883628,26.03413071
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,16,1,16
Throughput,70.20669282,64.53224533,43.92737248,372.3165188
Latency,227.9141395,247.9537037,22.76582642,42.98982707
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,16,8,1
Throughput,70.52280773,64.80824758,126.5692746,89.65067386
Latency,226.892596,246.897797,63.2143129,11.15538329
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,16,8,8
Throughput,69.66418861,63.46602174,124.9572848,303.0780824
Latency,229.6888806,252.1190414,64.02969731,26.40365775
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,16,8,16
Throughput,69.48840045,63.19407863,124.6274821,366.8660197
Latency,230.269896,253.2039181,64.1991189,43.62829114
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,16,16,1
Throughput,70.60041301,64.95469178,124.00672,89.76499519
Latency,226.6432087,246.3411865,129.040905,11.14117746
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,16,16,8
Throughput,69.74116219,63.60860034,122.4069336,303.5368744
Latency,229.4353894,251.5539519,130.7271891,26.36376079
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,10
Batchsize,16,16,16,16
Throughput,69.565245,63.33588028,122.0796957,367.4468061
Latency,230.015548,252.6370591,131.0775649,43.55935699
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,1,1,1
Throughput,16.96162954,32.11547085,45.33302248,98.69300107
Latency,58.95757696,31.1386184,22.05995224,10.13340822
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,1,1,8
Throughput,16.54154089,30.68213565,44.1274913,487.3681581
Latency,60.45483764,32.59323281,22.66258749,16.42251532
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,1,1,16
Throughput,16.3906607,30.18148313,43.69561046,681.8483206
Latency,61.01133074,33.13387539,22.88657144,23.48126867
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,1,8,1
Throughput,16.80843718,31.46283804,128.8454573,97.55725557
Latency,59.49490834,31.78450565,62.09770756,10.25136831
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,1,8,8
Throughput,16.39042707,30.06607561,125.2326903,480.9634325
Latency,61.01220038,33.26105479,63.88890354,16.6411008
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,1,8,16
Throughput,16.24029012,29.57795498,123.9408181,672.3405637
Latency,61.57623212,33.80994094,64.55475519,23.81310274
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,1,16,1
Throughput,16.82484173,31.5320132,126.2684851,97.67860507
Latency,59.43690059,31.71477872,126.7297595,10.23863389
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,1,16,8
Throughput,16.40660928,30.1313958,122.6820181,481.6468132
Latency,60.95202364,33.18895211,130.4341004,16.6175008
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,1,16,16
Throughput,16.25639282,29.64195379,121.4002249,673.3543398
Latency,61.51523902,33.7369453,131.8111118,23.7772742
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,8,1,1
Throughput,16.86961041,62.43273057,45.07079159,98.07215156
Latency,59.27916917,128.1457359,22.18829578,10.19755196
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,8,1,8
Throughput,16.45045444,59.5778829,43.86884381,484.0012605
Latency,60.7895717,134.2858371,22.79619869,16.53670221
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,8,1,16
Throughput,16.29990809,58.58213301,43.43824075,676.9343782
Latency,61.35101665,136.5682279,23.0221676,23.65160831
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,8,8,1
Throughput,16.71685281,61.12608858,128.0629056,96.94196675
Latency,59.82084974,130.8848344,62.47711908,10.31642734
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,8,8,8
Throughput,16.29976812,58.34715096,124.4628481,477.6356367
Latency,61.35154347,137.118199,64.28402832,16.75698864
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,8,8,16
Throughput,16.14996241,57.37735615,123.1754955,667.4903139
Latency,61.92062623,139.4356451,64.95580275,23.98602456
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,8,16,1
Throughput,16.73321085,61.26451134,125.4925478,97.06272324
Latency,59.76237107,130.5891272,127.51325,10.30359381
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,8,16,8
