,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,,,
resnet50,10,16,114.5672727,500,3.92988692,0.0355,,densenet201,10,16,198.6498476,287,11.66469638,0.0624,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,1.742160279,,79034686.23,147994628.9,227029315.2,0.199824018,219539124.3,112238152.5,331777276.8,156533770.9,84267243.83,240801014.8,,
resnet50,10,16,112.7944845,500,2.157098712,0.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,16,114.7494636,118,4.11207775,0.0372,,densenet201,25,1,26.18608328,500,0.474058042,0.0184,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,0.236,,99742622.88,63690406.78,163433029.7,2.586002557,156842868.6,51729877.12,208572745.8,69890419.49,7317983.051,77208402.54,,
resnet50,10,16,116.9130253,227,6.275639539,0.0567,,densenet201,25,8,52.10650217,500,3.169849637,0.0648,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,0.454,,270039308.4,273837312.8,543876621.1,1.093630827,524035061.7,189925669.6,713960731.3,282247949.3,109430264.3,391678213.7,,
resnet50,10,16,118.5235313,368,7.886145471,0.0713,,densenet201,25,16,86.17039571,500,4.415777326,0.054,,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,,0.736,,178477365.5,360548013.6,539025379.1,0.449879412,522147773.1,265140240.5,787288013.6,369704277.2,196394464.7,566098741.8,,
resnet50,10,16,114.7190555,124,4.081669745,0.0369,,densenet201,50,1,27.58452509,500,2.602517433,0.1042,,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,,0.248,,95234258.06,60668758.06,155903016.1,2.463128133,149470822.6,49200407.26,198671229.8,65019879.03,4886153.226,69906032.26,,
resnet50,10,16,123.8177985,132,13.1804127,0.1191,,densenet201,50,8,31.82734388,500,1.185328164,0.0387,,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,,0.264,,490762333.3,445726393.9,936488727.3,1.985019337,907616727.3,326591075.8,1234207803,454123268.9,182582685.6,636705954.5,,
resnet50,10,16,133.0764471,200,22.43906134,0.2028,,densenet201,50,16,52.18085267,500,2.929035619,0.0595,,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,,0.4,,333187190,658926320,992113510,0.839589388,962482005,488068002.5,1450550008,668967870,357110047.5,1026077918,,
resnet50,10,16,113.7791298,500,3.141744022,0.0284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,16,114.9919278,110,4.354542023,0.0394,,densenet201,75,1,24.54686306,500,-0.301549296,-0.0121,,22983408,15036664,38020072,0.604507219,36470994,12196191,48667185,16090340,1525869,17616209,,0.22,,104470036.4,68348472.73,172818509.1,2.747760087,165777245.5,55437231.82,221214477.3,73137909.09,6935768.182,80073677.27,,
