,,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,,,
vgg19,10,16,215.9193657,51,6.973390477,0.0334,,densenet201,75,1,25.11474641,500,0.26633405,0.0107,,,22983408,15036664,38020072,0.604507219,36470994,12196191,48667185,16090340,1525869,17616209,,0.102,,225327529.4,147418274.5,372745803.9,5.926541365,357558764.7,119570500,477129264.7,157748431.4,14959500,172707931.4,,
vgg19,10,16,240.4502454,49,31.50427025,0.1508,,densenet201,75,8,27.09058048,500,1.482404499,0.0579,,,131973217,113433588,245406805,0.537773258,238377352,86180435,324557787,115116278,48492046,163608324,,0.098,,1346665480,1157485592,2504151071,5.487482222,2432421959,879392193.9,3311814153,1174655898,494816795.9,1669472694,,
vgg19,10,16,272.1775949,72,63.23161973,0.3026,,densenet201,75,16,43.15266607,500,1.910399379,0.0463,,,128320721,260990144,389310865,0.329609915,378839579,195123691,573963270,263946711,142256852,406203563,,0.144,,891116118.1,1812431556,2703547674,2.288957741,2630830410,1355025632,3985856042,1832963271,987894805.6,2820858076,,
vgg19,10,16,214.0831184,500,5.137143178,0.0246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,16,215.8157343,56,6.869759118,0.0329,,densenet201,90,1,27.26417699,500,2.858144004,0.1171,,,,0.112,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,16,243.49316,49,34.54718481,0.1653,,densenet201,90,8,27.17735022,500,1.87122704,0.0739,,,,0.098,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,16,286.7735753,66,77.82760009,0.3725,,densenet201,90,16,41.96645659,500,2.737196069,0.0698,,,,0.132,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,16,212.5323897,500,3.586414509,0.0172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,origin,,395.7156607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,32,412.4271358,39,16.71147506,0.0422,,densenet201,10,1,38.59877053,500,2.113652811,0.0579,,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,0.078,,290849000,192704307.7,483553307.7,7.711318016,462700923.1,156493846.2,619194769.2,229670987.2,22428064.1,252099051.3,,
vgg19,10,32,413.103607,146,17.38794627,0.0439,,densenet201,10,8,126.9322885,500,8.007345913,0.0673,,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,0.292,,394548140.4,451213404.1,845761544.5,1.597604278,811135842.5,295652941.8,1106788784,487207434.9,177047578.8,664255013.7,,
vgg19,10,32,414.4069635,234,18.69130281,0.0472,,densenet201,10,16,199.6552998,500,12.6701486,0.0678,,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,0.468,,294211732.9,550919581.2,845131314.1,0.743857834,817248594,417813784.2,1235062378,582707089.7,313690267.1,896397356.8,,
vgg19,10,32,410.3422304,500,14.62656971,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,32,413.2234243,24,17.50776358,0.0442,,densenet201,25,1,26.08196173,500,0.369936487,0.0144,,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,0.048,,490401229.2,313144500,803545729.2,12.71451257,771144104.2,254338562.5,1025482667,343627895.8,35980083.33,379607979.2,,
vgg19,10,32,419.9949719,54,24.27931125,0.0614,,densenet201,25,8,51.7934241,500,2.856771565,0.0584,,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,0.108,,1135165241,1151130926,2286296167,4.597299956,2202888130,798391240.7,3001279370,1186486750,460012407.4,1646499157,,
vgg19,10,32,426.1179845,94,30.40232383,0.0768,,densenet201,25,16,86.02700922,500,4.272390836,0.0523,,,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,,0.188,,698719898.9,1411507117,2110227016,1.761230038,2044152984,1037995835,3082148819,1447352915,768863436.2,2216216351,,
vgg19,10,32,407.2360199,500,11.5203592,0.0291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,32,413.4227028,24,17.70704209,0.0447,,densenet201,50,1,26.451997,500,1.469989338,0.0588,,,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,,0.048,,492043666.7,313455250,805498916.7,12.72616202,772265916.7,254202104.2,1026468021,335936041.7,25245125,361181166.7,,
vgg19,10,32,441.9259426,28,46.21028186,0.1168,,densenet201,50,8,31.47862725,500,0.836611527,0.0273,,,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,,0.056,,2313593857,2101281571,4414875429,9.357948302,4278764571,1539643643,5818408214,2140866839,860746946.4,3001613786,,
vgg19,10,32,467.7823099,48,72.06664915,0.1821,,densenet201,50,16,51.73537879,500,2.483561742,0.0504,,,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,,0.096,,1388279958,2745526333,4133806292,3.498289118,4010341688,2033616677,6043958365,2787366125,1487958531,4275324656,,
vgg19,10,32,407.112282,500,11.39662128,0.0288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,32,413.9967637,22,18.28110305,0.0462,,densenet201,75,1,24.30676399,500,-0.541648368,-0.0218,,,22983408,15036664,38020072,0.604507219,36470994,12196191,48667185,16090340,1525869,17616209,,0.044,,522350181.8,341742363.6,864092545.5,13.73880044,828886227.3,277186159.1,1106072386,365689545.5,34678840.91,400368386.4,,
vgg19,10,32,457.811542,23,62.09588131,0.1569,,densenet201,75,8,27.89536017,500,2.287184192,0.0893,,,131973217,113433588,245406805,0.537773258,238377352,86180435,324557787,115116278,48492046,163608324,,0.046,,2868982978,2465947565,5334930543,11.69072299,5182116348,1873487717,7055604065,2502527783,1054174913,3556702696,,
vgg19,10,32,519.9323515,34,124.2166908,0.3139,,densenet201,75,16,43.22940091,500,1.987134219,0.0482,,,128320721,260990144,389310865,0.329609915,378839579,195123691,573963270,263946711,142256852,406203563,,0.068,,1887069426,3838090353,5725159779,4.847204628,5571170279,2869466044,8440636324,3881569279,2092012529,5973581809,,
vgg19,10,32,410.2314424,500,14.51578174,0.0367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,32,413.8006337,24,18.08497305,0.0457,,densenet201,90,1,25.94668388,500,1.54065089,0.0631,,,,0.048,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,32,461.8275823,23,66.11192162,0.1671,,densenet201,90,8,28.36527428,500,3.059151101,0.1209,,,,0.046,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,32,545.3456342,31,149.6299735,0.3781,,densenet201,90,16,42.1009566,500,2.871696084,0.0732,,,,0.062,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,32,407.2346063,500,11.51894562,0.0291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,origin,,10.64843715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,25,1,11.13387399,500,0.485436845,0.0456,,densenet201,10,1,40.95210389,137,4.466986166,0.1224,,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,3.649635036,,6216024.828,4118476.464,10334501.29,0.164806289,9888844.128,3344586.48,13233430.61,4908528.338,479332.586,5387860.924,,
vgg19,25,1,11.21206117,500,0.563624022,0.0529,,densenet201,10,8,133.7556617,43,14.83071912,0.1247,,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,11.62790698,,9907892.902,11330871,21238763.91,0.040119039,20369243.28,7424436.674,27793679.95,12234753.11,4446018.798,16680771.9,,
